Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
The inaugural public event of IFFO will be a high-level conference, co-organised with the Boao Forum for Asia, to be held tomorrow (July 5) in Hong Kong.	作为启动后的首项公开活动，办公室将于明日（七月五日）与博鳌亚洲论坛在香港合办高层次会议。
Hong Kong again ranked the world's most competitive economy	香港再度获评为全球最具竞争力经济体
Ends/Friday, November 19, 2010Issued at HKT 21:39	２０１０年１１月１９日（星期五）香港时间２１时５４分
Ends/Friday, October 14, 2011Issued at HKT 16:23	２０１１年１０月１４日（星期五）香港时间１６时２５分
Under Supplement X to CEPA, all measures relating to the liberalisation of trade in services will take effect from January 1, 2014.	《补充协议十》下各项服务贸易开放措施由二○一四年一月一日起生效。
Standard admission to the Hong Kong Heritage Museum is $10 with a half-price concession available for full-time students, people with disabilities and senior citizens aged 60 or above. Group tickets at $7 each are available to groups of 20 persons or more.	香港文化博物馆的标准入场门票为十元，全日制学生、残疾人士及六十岁或以上高龄人士可获半价优惠，二十人或以上团体可享团体优惠七元；
With her experience, expertise and contacts with the media, and with her experience in engaging public opinion, I hope she can help me in better engaging the community in terms of budget preparation and other initiatives and help me in crafting messages to the public.	至于提到我（的）政助，我很多谢何翠萍女士愿意加入政府，作为我的政助，与我一起服务市民，与我一起就着我工作范畴里方方面面尤其是与社会各界、市民大众沟通信息、那个engagement、那个互动方面，希望在各方面我们可以能够做得更好。
Mr Tsang said Hong Kong could consider setting up a savings scheme to prepare for the future, taking reference from the experience of other economies.	他认为，可以考虑效法其他经济体，研究储蓄计划，未雨绸缪。
(c) does not receive Comprehensive Social Security Assistance payments, Old Age Allowance, Old Age Living Allowance or Disability Allowance;	(三)  没有领取综合社会保障援助、长者生活津贴、高龄津贴或伤残津贴;
The following is issued on behalf of the Hospital Authority:	下稿代医院管理局发出：
On commitment to the society, Mr Tsang said: " It is the duty of the Government to provide the final safety net for those who cannot help themselves.	在对社会的𠄘担方面，曾俊华说﹕「为一些无力自助的社群提供最后安全网，政府是责无旁贷的。
Tsui Ping (North) Shopping Centre, Kwun Tong	观塘翠屏（北）商场
The 12 re-appointed serving non-official members are:	十二名再获委任的现任非官方成员为：
Interested tenderers must submit their tenders before noon on September 11.  Late tenders will not be accepted.	有兴趣投标人士必须于二零零九年九月十一日中午十二时前递交标书。 逾期的投标概不受理。
"The FMM would therefore provide an appropriate platform for the members to explore further connection and integration among the markets, with a view to promoting cross-border trade and investment, as well as boosting the regional and global economy," he said.	他说︰「亚太经合组织会议正好提供合适的平台，让各成员讨论如何进一步加强市场的联系和融合，促进跨境贸易和投资，以推动区内以至全球经济发展。」
Hong Kong is an externally oriented market and has always been subject to the impacts of foreign financial markets and the fast-changing external environments.	大家都知道，香港是外向型市场，很容易受到外围经济环境变化影响而出现一些波动。
Financial Secretary:	财政司司长：
Russia is an important emerging market.	俄罗斯是重要的新兴市场。
"All these pose considerable challenges for us given Hong Kong's geographical, spatial and natural resource constraints.	「这对我们来说是很大的挑战，因为香港在地理、空间和天然资源方面有不少限制。
The Financial Secretary also proposed to waive the business registration fees for 2019-20.	财政司司长亦建议宽免二零一九／二零年度商业登记费。
The AIIB is a multilateral development bank set up with a mission to foster sustainable economic development, create wealth and improve infrastructure connectivity in Asia by investing in infrastructure and other productive sectors.	亚投行是一所多边发展银行，其宗旨是通过在基础设施和其他生产性领域的投资，促进经济可持续发展、创造财富并改善基础设施互联互通。
Transcript of remarks by FS (with video)	财政司司长会见传媒谈话全文（附短片）
Accompanying Mr Tsang to Beijing will be the Secretary for Financial Services and the Treasury, Professor K C Chan, and the Chief Executive of the Hong Kong Monetary Authority, Mr Norman Chan.	陪同曾俊华访京有财经事务及库务局局长陈家强和香港金融管理局总裁陈德霖。
Following is the transcript of remarks (English portion) by the Financial Secretary, Mr John C Tsang, on the appointment of the Chief Executive of Hong Kong Monetary Authority today (July 17):	以下为财政司司长曾俊华今日（七月十七日）下午就金融管理局总裁任命会见传媒的发言全文（中文部分）：
Mr Chan said government resources should primarily be used to improve people's livelihood and cater for those in need.	陈茂波说，政府的资源应首要用于改善民生，让社会上有需要的群体得到照顾。
Revenue TowerWestern Magistracy BuildingNorth Point Government OfficesStelux House, San Po KongKowloon East Government OfficesMong Kok Government OfficesCheung Sha Wan Government OfficesKwai Hing Government OfficesTsuen Wan Government OfficesTuen Mun Central SquareSha Tin Government OfficesTai Po Government OfficesLandmark North, Sheung ShuiVictory Building, Tuen MunTin Ching Amenity and Community Building, Tin Shui Wai* 20 Mass Transit Railway stations:	税务大楼　　西区裁判署　　北角政府合署　　新蒲岗宝光商业中心　　东九龙政府合署　　旺角政府合署　　长沙湾政府合署　　葵兴政府合署　　荃湾政府合署　　屯门中央广场　　沙田政府合署　　大埔政府合署　　上水广场　　屯门好胜大厦　　天水围天晴社区综合服务大楼＊　二十个港铁车站：
"Our market promotion efforts in emerging economies, efforts to facilitate the importation of skills and talents, and the government's announcement of the introduction of a competition law are all examples of our commitment to ensure ease of access to markets and a fair and level playing field for investors."	「我们对发展中经济体系的巿场促进工作、在利便人才输入香港所作的努力及政府公布引入竞争法，都显示我们决心确保利便投资者进入巿场和为他们提供公平的营商环境。」
